,open,high,low,close,volume
2021-02-01 04:11:00,6.75,6.75,6.75,6.75,200
2021-02-01 04:15:00,6.75,6.75,6.75,6.75,188
2021-02-01 04:20:00,6.79,6.8,6.79,6.8,601
2021-02-01 04:37:00,6.8,6.8,6.8,6.8,500
2021-02-01 04:44:00,6.85,6.85,6.85,6.85,150
2021-02-01 04:50:00,6.86,6.86,6.86,6.86,300
2021-02-01 04:51:00,6.86,6.86,6.86,6.86,500
2021-02-01 04:56:00,6.86,6.86,6.86,6.86,127
2021-02-01 05:15:00,6.95,6.95,6.95,6.95,100
2021-02-01 05:27:00,6.94,6.95,6.94,6.95,260
2021-02-01 05:30:00,6.95,6.95,6.95,6.95,103
2021-02-01 05:40:00,6.95,6.95,6.95,6.95,181
2021-02-01 05:41:00,6.95,6.95,6.95,6.95,327
2021-02-01 05:44:00,6.91,6.91,6.91,6.91,138
2021-02-01 06:05:00,6.91,6.91,6.91,6.91,100
2021-02-01 06:12:00,6.92,6.93,6.92,6.93,380
2021-02-01 06:15:00,6.96,6.96,6.96,6.96,134
2021-02-01 06:16:00,6.96,6.96,6.96,6.96,282
2021-02-01 06:17:00,6.97,6.97,6.93,6.93,450
2021-02-01 06:18:00,6.91,6.91,6.91,6.91,150
2021-02-01 06:37:00,6.94,6.94,6.94,6.94,247
2021-02-01 06:38:00,6.94,6.94,6.94,6.94,276
2021-02-01 06:41:00,6.92,6.92,6.92,6.92,145
2021-02-01 06:42:00,6.91,6.91,6.91,6.91,300
2021-02-01 06:44:00,6.91,6.91,6.91,6.91,200
2021-02-01 06:45:00,6.91,6.91,6.91,6.91,119
2021-02-01 06:54:00,6.91,6.91,6.91,6.91,100
2021-02-01 06:58:00,6.91,6.91,6.91,6.91,200
2021-02-01 06:59:00,6.91,6.91,6.91,6.91,181
2021-02-01 07:00:00,6.93,6.97,6.93,6.97,531
2021-02-01 07:01:00,6.98,6.99,6.92,6.95,2153
2021-02-01 07:02:00,6.92,6.92,6.92,6.92,275
2021-02-01 07:03:00,6.92,6.92,6.9,6.9,2428
2021-02-01 07:04:00,6.86,6.86,6.85,6.85,1827
2021-02-01 07:05:00,6.82,6.82,6.8,6.8,658
2021-02-01 07:06:00,6.78,6.78,6.76,6.76,1100
2021-02-01 07:10:00,6.8,6.8,6.8,6.8,369
2021-02-01 07:14:00,6.8,6.8,6.8,6.8,314
