,open,high,low,close,volume
2021-02-01 04:01:00,133.3202,133.7994,133.3102,133.4,10401
2021-02-01 04:02:00,133.4,133.4699,133.3501,133.4699,3935
2021-02-01 04:03:00,133.4599,133.4799,133.3601,133.4799,4424
2021-02-01 04:04:00,133.5997,133.7395,133.5997,133.7395,4744
2021-02-01 04:05:00,133.7695,134.0491,133.7695,133.8494,7600
2021-02-01 04:06:00,133.8593,133.8993,133.8494,133.8993,3658
2021-02-01 04:07:00,133.9892,134.1889,133.9492,134.1889,6647
2021-02-01 04:08:00,134.2587,134.2787,133.9991,133.9991,7697
2021-02-01 04:09:00,133.9991,133.9991,133.7895,133.7895,8471
2021-02-01 04:10:00,133.7994,133.8094,133.7196,133.8094,3444
2021-02-01 04:11:00,133.8194,133.9392,133.8194,133.9392,2959
2021-02-01 04:12:00,133.9492,133.9991,133.9492,133.9492,2537
2021-02-01 04:13:00,133.9492,133.9492,133.8194,133.9392,2513
2021-02-01 04:14:00,133.8893,133.9492,133.8893,133.9492,1329
2021-02-01 04:16:00,133.8094,133.8094,133.8094,133.8094,467
2021-02-01 04:17:00,133.8993,134.1489,133.8993,134.1489,4503
2021-02-01 04:18:00,134.099,134.4784,134.099,134.4784,7075
2021-02-01 04:19:00,134.4784,134.6981,134.4185,134.6582,5650
2021-02-01 04:20:00,134.5283,134.5883,134.4285,134.4884,2326
2021-02-01 04:21:00,134.4984,134.6981,134.4385,134.6781,5855
2021-02-01 04:22:00,134.6881,134.6881,134.4285,134.5982,3268
2021-02-01 04:23:00,134.758,134.788,134.4485,134.5783,3759
2021-02-01 04:24:00,134.4984,134.5184,134.4684,134.5184,1762
2021-02-01 04:25:00,134.5283,134.5483,134.4285,134.4984,6451
2021-02-01 04:26:00,134.4385,134.4385,134.4285,134.4285,1600
2021-02-01 04:27:00,134.5383,134.6781,134.5184,134.5184,2291
2021-02-01 04:28:00,134.5283,134.5982,134.5184,134.5184,1244
2021-02-01 04:29:00,134.5283,134.5283,134.4085,134.4984,1496
2021-02-01 04:30:00,134.4984,134.6482,134.4984,134.6482,1562
2021-02-01 04:31:00,134.5883,134.5883,134.5883,134.5883,715
2021-02-01 04:32:00,134.5982,134.5982,134.5982,134.5982,426
2021-02-01 04:33:00,134.6082,134.6082,134.5383,134.5982,1321
2021-02-01 04:34:00,134.5383,134.5982,134.4285,134.5583,2469
